index,age,race,sex,education,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,y
0,26,4,1,15,2,9,0,32,4,53833,10,0,0,42,0
1,35,4,1,15,2,8,0,32,4,67728,10,0,2051,45,0
2,61,4,1,11,2,4,0,32,6,268831,9,0,0,53,0
3,48,1,0,9,5,1,4,23,4,238360,13,0,0,40,0
4,20,4,1,15,4,11,3,32,4,199011,10,0,0,12,0
5,19,4,1,1,4,13,3,32,7,431745,7,0,0,30,0
6,31,4,0,7,2,1,5,32,4,109428,12,0,1740,40,0
7,22,4,1,11,4,13,3,32,4,151888,9,0,0,40,0
8,40,4,1,11,2,8,0,32,4,178417,9,0,0,35,0
9,78,1,1,12,6,8,4,28,4,180239,14,0,0,40,0
10,39,2,1,1,2,13,0,32,4,326342,7,2635,0,37,0
11,56,4,1,11,2,9,0,32,4,75785,9,0,0,40,1
12,35,1,1,12,4,9,1,32,4,337286,14,0,0,40,0
13,50,2,1,11,5,8,1,32,4,126592,9,0,0,40,0
14,28,4,1,11,0,8,1,32,4,189346,9,0,0,45,0
15,36,4,1,12,2,0,0,32,0,186815,14,0,0,50,0
16,31,4,1,9,4,2,1,32,4,51259,13,0,0,47,0
17,24,4,1,11,2,4,0,32,4,98287,9,0,0,50,0
18,62,4,1,11,2,10,0,32,6,159939,9,0,0,35,0
19,43,4,1,9,2,6,0,32,4,180609,13,0,0,45,0
20,23,4,1,11,4,4,3,32,4,183789,9,0,0,40,0
21,26,4,1,11,2,8,0,32,4,104746,9,5013,0,60,0
22,36,4,0,15,4,4,1,32,4,173804,10,0,0,35,0
23,60,4,1,6,2,12,0,32,4,39952,5,2228,0,37,0
24,51,2,0,1,0,13,4,32,4,103529,7,0,0,30,0
25,40,4,1,12,2,8,0,32,5,33126,14,0,0,50,0
26,37,4,1,11,2,1,0,32,1,289653,9,0,0,50,1
27,25,4,1,2,4,8,1,32,4,391591,8,0,0,40,0
28,38,4,1,9,2,4,0,32,5,275223,13,7688,0,40,1
29,48,4,0,12,0,2,1,32,2,144122,14,0,0,40,1
30,49,4,1,15,0,9,1,32,4,149049,10,14344,0,45,1
31,22,1,0,9,4,0,3,29,0,110622,13,0,0,15,0
32,47,4,1,6,3,11,4,39,4,241832,5,0,0,40,0
33,19,1,0,2,4,2,1,30,4,361341,8,0,0,25,0
34,36,4,0,8,4,5,1,32,4,293528,11,0,0,3,0
35,54,4,1,10,2,2,0,32,4,99185,16,15024,0,45,1
36,32,4,1,11,2,4,0,32,4,131584,9,7298,0,40,1
37,43,4,0,9,2,2,5,32,2,94937,13,0,0,28,0
38,17,4,0,1,4,4,3,32,4,98005,7,0,0,16,0
39,21,4,0,15,4,0,3,32,0,479482,10,0,0,40,0
40,60,4,1,9,2,9,0,32,7,152711,13,0,0,40,1
41,60,4,1,10,2,2,0,32,7,234854,16,0,1902,40,1
42,20,4,0,11,4,0,3,32,0,371089,9,0,0,40,0
43,47,4,1,12,2,2,0,32,2,121124,14,0,0,35,1
44,35,4,0,11,0,4,1,32,4,101387,9,0,0,50,0
45,47,4,0,11,0,5,1,32,4,251508,9,0,0,36,0
46,42,4,1,9,2,5,0,32,4,171424,13,7298,0,45,1
