AmazonAvailability,Title,Description,SalesRank,ASIN,Category_ID
no Amazon offer exists,Beyerdynamic EDT250V Headphone Ear Pads Black,"Replacement original velour ear pads for beyerdynamic DT 250, DT880, DT290, may fit Sony MDR 7506, MDR V6",112659,B0016MF7W2,1
no Amazon offer exists,"GRADO SR325e Stereo Headphones, Wired, Dynamic Drivers, Open Back Design","Great Hi-Fi Headphones. These are ideal for home use, Studio use, etc. Grado is considered one of the top brands and every review rates them very high.",242427,B00L1O2PDY,1
no Amazon offer exists,Audioengine N22 Mini Desktop Audio Amplifier - Analog Class AB Stereo Power Amp for Home Loudspeakers,The N22 Desktop Amplifier is a compact integrated stereo power amplifier and a high-quality headphone amp,108787,B0049OI08W,2
no Amazon offer exists,"BlueRigger High Speed HDMI Cable with Ethernet, Supports 3D and Audio Return 6.6 Feet (2 meters)","<i> BlueRigger High Speed HDMI Cables are premium quality cables that help you extract the maximum performance from your gaming or home theater setup.</i> <br> <br> <b>Rugged Build </b> <br> BlueRigger cables are completely certified to support advanced HDMI features such as 3D, Ethernet and Audio Return <br> - The cable is made of a PVC outer layer that protects from physical strain, external interference & maintains efficiency of the digital signal <br> - It has gold plated connectors that help resist corrosion <br> - These cables are ATC (Authorized Testing Center) certified to support all resolutions up to 1440p <br> <br> <b>Quality Picture and Sound</b> <br> - Latest version HDMI cable supports <b>3D content, Ethernet and Audio Return Channel</b> <br> - Guaranteed 4K 60Hz, 1080p Resolutions <br> - Supports Refresh Rates of up to 240hz and 48-Bit Deep Color <br> - Supports Transfer Rates of Up to 600Mhz or 18 gbps <br> - Works with all HDTVs, Blu-ray players, Xbox 360, PS3 and other HDMI devices <br> - Supports True HD Dolby 7.1 and DTS-HD Master Audio <br> - HDCP Compliant <br> <br> <b>Backwards Compatible with Previous HDMI Standards</b> <br>The cable is backwards compatible with all previous HDMI standards, so you'll be able to use the BlueRigger cable with all your HDMI devices. <br> <br> <b>Warranty</b> <br> All BlueRigger HDMI cables are backed by a lifetime warranty. Please contact us via email if you have any questions.",24442,B00316263Y,2
no Amazon offer exists,Zune HD 32 GB Video MP3 Player (Platinum),"Amazon.com

Zune is the premium digital experience that gives you access to the latest in entertainment and technology, allowing you to enjoy, connect, and discover content in a whole new way--the way you like it. Browse, stream, buy, and play all you want, including music, HD video, podcasts, games, and much more. Gain the freedom to enjoy your entertainment; Zune brings your content up front, so you're always in control.

Instant entertainment that you control. Click to enlarge.
Browse, stream, buy, and play all you want, including music, HD video, podcasts, games, and much more. Click to enlarge.
With a 3.3-inch size and vivid 16:9 display, truer and brighter entertainment is at your fingertips. Click to enlarge.
Weighs just 2.6 ounces and is only 8.9 mm thick. Click to enlarge.

Instant Entertainment that You Control
HD Radio Technology: More Stations, better sound, no fees HD-compatible Video: High-quality video on the go or on your HDTV Internet Browsing: News, email, traffic? It's all in your pocket. OLED Touchscreen: Wide view with a special touch Games: More games, more fun

Zune HD

Portable perfection
The new Zune HD wireless media player takes you closer and connects you to a whole new world of entertainment. With built-in HD Radio receiver, HD-compatible video, multi-touch navigation, OLED screen, and games, Zune HD delivers the next level in music and video experiences. Zune HD 32 GB: Holds up to 10 hours of high definition video; 48 hours of standard definition video; 8,000 songs; or 25,000 pictures. Available in Platinum.
HD Radio Technology
The new Zune HD gives you access to many local HD Radio stations with crystal-clear digital sound at no extra cost. Receive additional channels from your local stations and get more of the content you love, including sports, news, and music, in various genres and formats. Like something you hear on HD Radio? Song tagging technology allows you to buy the song if you are connected to a Wi-Fi network or to tag it for later purchase. Click here for more information about HD Radio.
HD-compatible Video
Watch HD movies, TV shows, and more on your HDTV directly from your Zune HD. Just connect via the Zune HD AV Dock to your HDTV (both sold separately) to watch 720p HD video. The Zune HD also will play your videos on the go in its sharp, brilliant OLED screen. Videos on the player are downscaled to fit the screen at 480 x 272--not HD resolution.
Quickplay
Get instant access to your stuff with shortcuts to favorites, recently downloaded or played music, videos, and more. Quickplay cuts through the clutter and brings up front the content that you care about most.
Games
Loaded with multi-touch and accelerometer, the Zune HD player makes portable gaming even more exciting. Download from Zune's catalog of free games and popular titles--play them all to the sound of your favorite music.
OLED Touchscreen
Get instant access to your content with multi-touch navigation. With a 3.3-inch size and vivid 16:9 display (480 x 272 resolution), truer and brighter entertainment is at your fingertips.
Wireless
Zune HD allows you to buy, stream, and update your music--and download free games--wirelessly via a Wi-Fi connection. Feeling entangled? Wirelessly sync your Zune HD to your home PC via your home network. You also can stream millions of songs over Wi-Fi directly to your Zune HD and turn it into a portable digital jukebox.
Internet Browsing
Surf the web anytime, anywhere you have a Wi-Fi connection. Enjoy your favorite websites with a well-featured web browser, including tap-to-zoom technology, built-in accelerometer, and touchscreen QWERTY keyboard.
Zune Marketplace
Download free Zune software to access Zune Marketplace from your PC. Download or stream new music, rent the latest movies, buy TV shows, and watch free trailers and previews--plus thousands of audio and video podcasts. You also can download from our catalog of free games including classic and other popular titles.
Expand Your Entertai",244375,B002JPITY8,2
no Amazon offer exists,"Toptekits IEC C13 Power Cord Plug Connector ,IEC 320 C13 Female Plug Rewirable Power Connector 3pin Socket 10A /250V","This easy-to-wire connectors allows you to make your own IEC cable connections without soldering.
Condition: 100% Brand New and High Quality
Compact design for traveller or Home Use
3-Pin Female C13 Adapter
Rating :10A , 250VAC,Cable Diameter : up to 8mm OD
Easy to use, plug and play
Color : Black
Package included:
1X C13 Plug Adapter",110358,B002T0JMTY,2
no Amazon offer exists,Bose 901 Direct/Reflecting Speaker System - Walnut,"The introduction of the revolutionary Bose® 901® speakers in 1968 redefined the phrase high fidelity. For the first time, a speaker was capable of reproducing music with much of the impact, clarity and spaciousness of a live performance. Today's 901 speakers incorporate some 350 enhancements over the acclaimed original. 901 speakers work by reflecting most of the sound off walls and other flat surfaces, instead of aiming all the sound toward you, as conventional speakers do. With Direct/Reflecting® speaker technology, anything you listen to, from the latest DVD audio to your favorite vintage records, acquires lifelike realism, because the speakers reproduce the natural concert hall balance of direct and reflected sound. The result is what we call Stereo Everywhere® speaker performance, stereo performance that is clear and lifelike everywhere in the room, instead of in just one ""sweet spot."" You'll experience balanced sound throughout the listening environment, no matter where you sit or stand. Just as you enjoy beautiful music reproduction from these speakers, you can also experience thrilling home theater effects from your home theater components. These speakers are an appropriate choice for use with your surround sound receiver, and can be used in conjunction with other Bose home theater speaker options.",559303,B0006B5V6G,2
no Amazon offer exists,"GLS Audio Speaker Cable 1/4"" to 1/4"" - 12 AWG Professional Bass/Guitar Speaker Cable for Amp - Black, 6 Ft.","GLS Audio speaker cables are manufactured with the highest grade materials in the industry. The copper wire is rated in AWG spec which stands for ""American Wire Gauge"". The AWG rating was developed by the USA as a result of some wire manufacturers stating their wire was a certain spec when it really wasn't. You'll notice most imported wire and cable manufacturers will rate their wire in ""G"" or Gauge (not AWG). The ""G"" rating can be used for any wire size. For example: A 12G rated cable may only be equivalent to a 18AWG cable (or worse). There are no regulations or specifications on ""G"" rated cables. How can you determine if a ""G"" rated cable is the same spec as an AWG cable? Unfortunately, you can't unless you test the power loss per foot. Sometimes the weight may be an indicator. For example: GLS Audio 50ft 12AWG cables weigh about 4lbs whereas most of our competitors weigh about 2.5lbs. This may be a result of the copper wire gauge not being true AWG.",1042,B004Z2G2T2,2
no Amazon offer exists,Sony MDR-101LP Overhead Headphones with 30 mm Drive Unit (Discontinued by Manufacturer),Sony Camcorder/Audio (MDR-101LP) LT WT STER HDPHN,470935,B00000JCTD,1
no Amazon offer exists,Martin Logan Motion 60XT Gloss Black Floorstanding Speaker - Each,"XT stands for extreme, and for good reason. Motion 60XT speakers play louder, lower, and with unflinching accuracy. Dual 8"" woofers and rear-firing bass ports create astonishing deep, precise bass, while a dedicated mid woofer promotes an open, revealing and authentic midrange. Paring this powerful trio with our most accurate Folded Motion XT tweeter creates audible acoustic alchemy that delivers an engaging and encompassing experience, cutting straight to the emotion locked inside your favorite recordings. The elegant Motion 60XT tower speakers are the newest additions to Martin Logan's award-winning Motion Series. Voice-matched with the entire Motion Series products, the Motion 60XT speakers feature our advanced resolution Folded Motion tweeter and have been designed with a luscious high-gloss piano black finish, subtle angled-top cabinet with soft radius corners and signature Martin Logan perforated grille. A Versatile Performer Each model feature dual sets of custom 5-way binding posts for bi-wire/bi-amp capabilities and powerful rear-firing bass port. Stability is enhanced to create tighter coupling between speaker and floor with the included spikes.",411527,B00MHOJ95Y,2
